word,word_trans,part,part_trans,n_senses,colour,colour_trans,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,chars_untranslated,translated,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex,eng_def_sj,eng_def_k,eng_def_e,eng_def_i,eng_def_a,eng_def_hh,eng_def_bu,eng_def_p,eng_def_q,eng_def_cj,eng_def_r,eng_def_y
iji,,k.,,1,purple,verb/adverb/article,0,0,13,0,k. ubva ji.,5,k. ubva (is).,i ji,ji i,2,i,ji,2,3,,ubva ji.,,,,,,,,,,,>1,#9370DB,,ubva (is).,,,,,,,,,,
ilaba,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. qahh juya rik. lpubl juya qahh rik. siuaa ja je rik o je ja rik.,23,i. qahh juya (look/move). lpubl juya qahh (look/move). (mixed) (me) (you) (look/move) o (you) (me) (look/move).,i la ba,ba la i,3,i,ba,15,5,,,,qahh juya rik. lpubl juya qahh rik. siuaa ja je rik o je ja rik.,,,,,,,,,0-1,#6495ED,,,,qahh juya (look/move). lpubl juya qahh (look/move). (mixed) (me) (you) (look/move) o (you) (me) (look/move).,,,,,,,,
iladu,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. dust ja je rik el je bteb o ja ehu suba zju hji. xzt dust qahh juya rik o qahh hhk suba juya ji am qahh yra ji el je chley.,66,i. dust (me) (you) (look/move) el (you) bteb o (me) ehu suba zju (isn't). xzt dust qahh juya (look/move) o qahh hhk suba juya (is) am qahh (that) (is) el (you) chley.,i la du,du la i,3,i,du,31,5,,,,dust ja je rik el je bteb o ja ehu suba zju hji. xzt dust qahh juya rik o qahh hhk suba juya ji am qahh yra ji el je chley.,,,,,,,,,0-1,#6495ED,,,,dust (me) (you) (look/move) el (you) bteb o (me) ehu suba zju (isn't). xzt dust qahh juya (look/move) o qahh hhk suba juya (is) am qahh (that) (is) el (you) chley.,,,,,,,,
ilag,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. xlag subb je ji. rahhr je ji. rali guo z gedher je belu. jel aozh rali z guo je dkdg. shg je kshp. rali guo je ahg.,68,i. xlag subb (you) (is). rahhr (you) (is). rali guo z gedher (you) belu. jel aozh rali z guo (you) dkdg. shg (you) kshp. rali guo (you) ahg.,i la g,g la i,3,i,g,27,4,,,,xlag subb je ji. rahhr je ji. rali guo z gedher je belu. jel aozh rali z guo je dkdg. shg je kshp. rali guo je ahg.,,,,,,,,,0-1,#6495ED,,,,xlag subb (you) (is). rahhr (you) (is). rali guo z gedher (you) belu. jel aozh rali z guo (you) dkdg. shg (you) kshp. rali guo (you) ahg.,,,,,,,,
ilah,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. qahh uzuini ji. huti lela uzuini ji o kusxkusx qahh ji. am qahh uzuini ji. vh qah z je uzuini pdep. je uzuini tacx. ehu ehg jef ulilu. lela uzuini ji am qahh uzuini iji. yra je kap asx aohh qahh yra ji. yra je asx. olla. qahh yra hji. qahh ja ji. vh axuaxf subtate ja yra kyin el je shley. yra je asx.,151,i. qahh uzuini (is). huti (time) uzuini (is) o kusxkusx qahh (is). am qahh uzuini (is). (at) qah z (you) uzuini pdep. (you) uzuini tacx. ehu ehg jef ulilu. (time) uzuini (is) am qahh uzuini iji. (that) (you) (not) asx aohh qahh (that) (is). (that) (you) asx. olla. qahh (that) (isn't). qahh (me) (is). (at) axuaxf (after) (me) (that) kyin el (you) shley. (that) (you) asx.,i la h,h la i,3,i,h,65,4,,,,qahh uzuini ji. huti lela uzuini ji o kusxkusx qahh ji. am qahh uzuini ji. vh qah z je uzuini pdep. je uzuini tacx. ehu ehg jef ulilu. lela uzuini ji am qahh uzuini iji. yra je kap asx aohh qahh yra ji. yra je asx. olla. qahh yra hji. qahh ja ji. vh axuaxf subtate ja yra kyin el je shley. yra je asx.,,,,,,,,,0-1,#6495ED,,,,qahh uzuini (is). huti (time) uzuini (is) o kusxkusx qahh (is). am qahh uzuini (is). (at) qah z (you) uzuini pdep. (you) uzuini tacx. ehu ehg jef ulilu. (time) uzuini (is) am qahh uzuini iji. (that) (you) (not) asx aohh qahh (that) (is). (that) (you) asx. olla. qahh (that) (isn't). qahh (me) (is). (at) axuaxf (after) (me) (that) kyin el (you) shley. (that) (you) asx.,,,,,,,,
ilain,,a.,,1,green,adjective/determiner,0,0,1,0,a. akudep kzin.,11,a. akudep kzin.,i la in,in la i,3,i,in,2,5,,,,,akudep kzin.,,,,,,,,0-1,#228B22,,,,,akudep kzin.,,,,,,,
ilavja,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. xta heba. ja belu je yk rik el je shg. xta heba. hut deaw je ja xysi lpupul ja je xysi. am ja thg je rik. ja thg je eitek rik.,52,i. xta (end). (me) belu (you) yk (look/move) el (you) shg. xta (end). hut deaw (you) (me) xysi lpupul (me) (you) xysi. am (me) thg (you) (look/move). (me) thg (you) eitek (look/move).,i la v ja,ja v la i,4,i,ja,31,6,,,,xta heba. ja belu je yk rik el je shg. xta heba. hut deaw je ja xysi lpupul ja je xysi. am ja thg je rik. ja thg je eitek rik.,,,,,,,,,0-1,#6495ED,,,,xta (end). (me) belu (you) yk (look/move) el (you) shg. xta (end). hut deaw (you) (me) xysi lpupul (me) (you) xysi. am (me) thg (you) (look/move). (me) thg (you) eitek (look/move).,,,,,,,,
ilawka,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. sxuk axuax el lela dkdg f vzt ji. gudi l shtu ji. am glio kyin el ahk lef dkdg f vzt kalao. kat l asj. kat ja z yra du lela dkdg.,77,i. sxuk axuax el (time) dkdg f vzt (is). gudi l shtu (is). am glio kyin el ahk lef dkdg f vzt kalao. kat l asj. kat (me) z (that) du (time) dkdg.,i la w ka,ka w la i,4,i,ka,32,6,,,,sxuk axuax el lela dkdg f vzt ji. gudi l shtu ji. am glio kyin el ahk lef dkdg f vzt kalao. kat l asj. kat ja z yra du lela dkdg.,,,,,,,,,0-1,#6495ED,,,,sxuk axuax el (time) dkdg f vzt (is). gudi l shtu (is). am glio kyin el ahk lef dkdg f vzt kalao. kat l asj. kat (me) z (that) du (time) dkdg.,,,,,,,,
iley,,a.,,1,green,adjective/determiner,0,0,1,0,a. vh oley hgasi.,10,a. (at) oley hgasi.,i le y,y le i,3,i,y,3,4,,,,,vh oley hgasi.,,,,,,,,0-1,#228B22,,,,,(at) oley hgasi.,,,,,,,
iligat,,sj.,,1,blue,NOUN,0,0,0,0,sj. aitgutea vx cxihutu ji.,19,sj. aitgutea vx cxihutu (is).,i li ga t,t ga li i,4,i,t,4,6,aitgutea vx cxihutu ji.,,,,,,,,,,,,0-1,#6495ED,aitgutea vx cxihutu (is).,,,,,,,,,,,
iligt,,sj.,,1,blue,NOUN,0,0,32,0,sj. sxk gato z aizsuda.,17,sj. sxk gato z aizsuda.,i li g t,t g li i,4,i,t,4,5,sxk gato z aizsuda.,,,,,,,,,,,,>20,#6495ED,sxk gato z aizsuda.,,,,,,,,,,,
in,or,bu.,,1,tan,conjunction,0,1,120,0,bu. ju hucher deqhm. tair el subtet ee yra f yin ji.,,bu. (add/mix) (something/anything) (WORD). tair el (PAST) (AND) (that) f yin (is).,in,in,1,in,,11,2,,,,,,,ju hucher deqhm. tair el subtet ee yra f yin ji.,,,,,,>20,#D2B48C,,,,,,,(add/mix) (something/anything) (WORD). tair el (PAST) (AND) (that) f yin (is).,,,,,
inasi,,a.,,1,green,adjective/determiner,0,0,2,0,a. vt hezi. kap vt akudep.,15,a. vt hezi. (not) vt akudep.,in a si,si a in,3,in,si,5,5,,,,,vt hezi. kap vt akudep.,,,,,,,,>1,#228B22,,,,,vt hezi. (not) vt akudep.,,,,,,,
inlt,,hh.,,1,green,adjective/determiner,0,0,14,0,hh. kap qlat.,6,hh. (not) qlat.,in l t,t l in,3,in,t,2,4,,,,,,kap qlat.,,,,,,,>1,#228B22,,,,,,(not) qlat.,,,,,,
invh,,a.,,1,green,adjective/determiner,0,0,3,0,a. kytu vs qvq.,8,a. kytu (with) qvq.,in v h,h v in,3,in,h,3,4,,,,,kytu vs qvq.,,,,,,,,>1,#228B22,,,,,kytu (with) qvq.,,,,,,,
inxh,,a.,,1,green,adjective/determiner,0,0,2,0,a. kap invh.,5,a. (not) invh.,in x h,h x in,3,in,h,2,4,,,,,kap invh.,,,,,,,,>1,#228B22,,,,,(not) invh.,,,,,,,
iolla,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. olla liuzu ja ee je hkdg. ja je iji. je ja iji. lpupl ja z ja je ji o ja z je ja ji. je ja asj el je lqa.,36,i. olla liuzu (me) (AND) (you) hkdg. (me) (you) iji. (you) (me) iji. lpupl (me) z (me) (you) (is) o (me) z (you) (me) (is). (you) (me) asj el (you) lqa.,i o l la,la l o i,4,i,la,30,5,,,,olla liuzu ja ee je hkdg. ja je iji. je ja iji. lpupl ja z ja je ji o ja z je ja ji. je ja asj el je lqa.,,,,,,,,,0-1,#6495ED,,,,olla liuzu (me) (AND) (you) hkdg. (me) (you) iji. (you) (me) iji. lpupl (me) z (me) (you) (is) o (me) z (you) (me) (is). (you) (me) asj el (you) lqa.,,,,,,,,
iphjr,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. xhjr bpu. tta guo kyin el xhjr ji. juya vh l beak bebak f qahh hjira el xhjr ji. vh zucjch ja kyin el xhjr ji.,48,i. (stop) bpu. tta guo kyin el (stop) (is). juya (at) l beak bebak f qahh hjira el (stop) (is). (at) (DEATH) (me) kyin el (stop) (is).,i p hj r,r hj p i,4,i,r,26,5,,,,xhjr bpu. tta guo kyin el xhjr ji. juya vh l beak bebak f qahh hjira el xhjr ji. vh zucjch ja kyin el xhjr ji.,,,,,,,,,0-1,#6495ED,,,,(stop) bpu. tta guo kyin el (stop) (is). juya (at) l beak bebak f qahh hjira el (stop) (is). (at) (DEATH) (me) kyin el (stop) (is).,,,,,,,,
ipqe,,sj.,,1,blue,NOUN,0,0,0,0,sj. je uxaux lela asj f heze.,15,sj. (you) uxaux (time) asj f heze.,i p qe,qe p i,3,i,qe,6,4,je uxaux lela asj f heze.,,,,,,,,,,,,0-1,#6495ED,(you) uxaux (time) asj f heze.,,,,,,,,,,,
ipuzu,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. kakauka jaraq akydep aa yra jaraq f lela dsiu je kyin el l ppicj z je ji. vx jel ginger ahk je uxauxf dyt.,60,i. (unmixed) jaraq akydep aa (that) jaraq f (time) dsiu (you) kyin el l ppicj z (you) (is). vx jel ginger ahk (you) uxauxf dyt.,i pu zu,zu pu i,3,i,zu,24,5,,,,kakauka jaraq akydep aa yra jaraq f lela dsiu je kyin el l ppicj z je ji. vx jel ginger ahk je uxauxf dyt.,,,,,,,,,0-1,#6495ED,,,,(unmixed) jaraq akydep aa (that) jaraq f (time) dsiu (you) kyin el l ppicj z (you) (is). vx jel ginger ahk (you) uxauxf dyt.,,,,,,,,
iqabr,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. sxi kauin vs yl yre ktap yl ysi ktap ji pu. hhk je tuk. l tky z laf je belu. am cji shg je brye. xzt vx yra ktap axuax iligt je rak o ezugad yra ktap ji el shg je brue.,87,i. sxi kauin (with) yl (this) ktap yl (TWO) ktap (is) (?). hhk (you) tuk. l tky z (delay) (you) belu. am (today) shg (you) brye. xzt vx (that) ktap axuax iligt (you) rak o ezugad (that) ktap (is) el shg (you) brue.,i qa b r,r b qa i,4,i,r,42,5,,,,sxi kauin vs yl yre ktap yl ysi ktap ji pu. hhk je tuk. l tky z laf je belu. am cji shg je brye. xzt vx yra ktap axuax iligt je rak o ezugad yra ktap ji el shg je brue.,,,,,,,,,0-1,#6495ED,,,,sxi kauin (with) yl (this) ktap yl (TWO) ktap (is) (?). hhk (you) tuk. l tky z (delay) (you) belu. am (today) shg (you) brye. xzt vx (that) ktap axuax iligt (you) rak o ezugad (that) ktap (is) el shg (you) brue.,,,,,,,,
iqahk,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. qlat l iqf ji. yl yre juya aok el ahg chsiv. yl ysi yra vztu. yl yamte chlicx. qahh cxla hhk juya kyin.,61,i. qlat l iqf (is). yl (this) juya aok el ahg chsiv. yl (TWO) (that) vztu. yl (THREE) chlicx. qahh cxla hhk juya kyin.,i qa h k,k h qa i,4,i,k,23,5,,,,qlat l iqf ji. yl yre juya aok el ahg chsiv. yl ysi yra vztu. yl yamte chlicx. qahh cxla hhk juya kyin.,,,,,,,,,0-1,#6495ED,,,,qlat l iqf (is). yl (this) juya aok el ahg chsiv. yl (TWO) (that) vztu. yl (THREE) chlicx. qahh cxla hhk juya kyin.,,,,,,,,
iqf,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. qahh igf.,8,k. qahh igf.,i q f,f q i,3,i,f,2,3,,qahh igf.,,,,,,,,,,,0-1,#9370DB,,qahh igf.,,,,,,,,,,
iracj,,e.,,1,green,adjective/determiner,0,0,0,0,e. inlt kytu. sxuk iska ging ji.,21,e. inlt kytu. sxuk iska ging (is).,i ra cj,cj ra i,3,i,cj,6,5,,,inlt kytu. sxuk iska ging ji.,,,,,,,,,,0-1,#228B22,,,inlt kytu. sxuk iska ging (is).,,,,,,,,,
irli,,a.,,1,green,adjective/determiner,0,0,1,0,a. airli. kap airlx.,11,a. airli. (not) airlx.,i r li,li r i,3,i,li,3,4,,,,,airli. kap airlx.,,,,,,,,0-1,#228B22,,,,,airli. (not) airlx.,,,,,,,
ishl,,k.,,1,purple,verb/adverb/article,0,0,42,0,k. vh qvq yra vztu.,8,k. (at) qvq (that) vztu.,i sh l,l sh i,3,i,l,4,4,,vh qvq yra vztu.,,,,,,,,,,,>20,#9370DB,,(at) qvq (that) vztu.,,,,,,,,,,
isiga,,sj.,,1,blue,NOUN,0,0,3,0,sj. taar deda ji.,10,sj. taar deda (is).,i si ga,ga si i,3,i,ga,3,5,taar deda ji.,,,,,,,,,,,,>1,#6495ED,taar deda (is).,,,,,,,,,,,
isjaei,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. vh gedhe f sjaap uxauxf xlag lela ji. vh sjeep gedher sxk ehu ulilu aa fjah. ja ulilu lpu je kap lqa.,61,i. (at) gedhe f sjaap uxauxf xlag (time) (is). (at) sjeep gedher sxk ehu ulilu aa fjah. (me) ulilu lpu (you) (not) lqa.,i sj a ei,ei a sj i,4,i,ei,22,6,,,,vh gedhe f sjaap uxauxf xlag lela ji. vh sjeep gedher sxk ehu ulilu aa fjah. ja ulilu lpu je kap lqa.,,,,,,,,,0-1,#6495ED,,,,(at) gedhe f sjaap uxauxf xlag (time) (is). (at) sjeep gedher sxk ehu ulilu aa fjah. (me) ulilu lpu (you) (not) lqa.,,,,,,,,
iska,,e.,,1,green,adjective/determiner,0,0,2,0,e. ahk in belu ska.,11,e. ahk (or) belu ska.,i s ka,ka s i,3,i,ka,4,4,,,ahk in belu ska.,,,,,,,,,,>1,#228B22,,,ahk (or) belu ska.,,,,,,,,,
isuiax,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. lpubel duax je asx. dest hatel aiok o dust sxzu ee kakauka zuer je vztu o kakauka el kakauka liaax f lela yk ji el je cxli. sxi rali tta yra ji. sxi rali yk yra lela ji.,80,i. lpubel duax (you) asx. dest hatel aiok o dust sxzu (AND) (unmixed) zuer (you) vztu o (unmixed) el (unmixed) liaax f (time) yk (is) el (you) cxli. sxi rali tta (that) (is). sxi rali yk (that) (time) (is).,i su i ax,ax i su i,4,i,ax,38,6,,,,lpubel duax je asx. dest hatel aiok o dust sxzu ee kakauka zuer je vztu o kakauka el kakauka liaax f lela yk ji el je cxli. sxi rali tta yra ji. sxi rali yk yra lela ji.,,,,,,,,,0-1,#6495ED,,,,lpubel duax (you) asx. dest hatel aiok o dust sxzu (AND) (unmixed) zuer (you) vztu o (unmixed) el (unmixed) liaax f (time) yk (is) el (you) cxli. sxi rali tta (that) (is). sxi rali yk (that) (time) (is).,,,,,,,,
itahe,,sj.,,1,blue,NOUN,0,0,0,0,sj. vk kata ahg je atek.,13,sj. (to/do) kata ahg (you) atek.,i ta he,he ta i,3,i,he,5,5,vk kata ahg je atek.,,,,,,,,,,,,0-1,#6495ED,(to/do) kata ahg (you) atek.,,,,,,,,,,,
itar,,e.,,1,green,adjective/determiner,0,0,0,0,e. aie je bezu am shg je chsiv o ahg je kata o thg je atek aa je subb ja ulio el je lqa.,49,e. aie (you) bezu am shg (you) chsiv o ahg (you) kata o thg (you) atek aa (you) subb (me) ulio el (you) lqa.,i ta r,r ta i,3,i,r,23,4,,,aie je bezu am shg je chsiv o ahg je kata o thg je atek aa je subb ja ulio el je lqa.,,,,,,,,,,0-1,#228B22,,,aie (you) bezu am shg (you) chsiv o ahg (you) kata o thg (you) atek aa (you) subb (me) ulio el (you) lqa.,,,,,,,,,
itgin,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. thg gin kadu. xzt gedher yra hji xzt l hhk lef ji o thg gin kadu. kat ley gin ji. vst ley ginger heba.,62,i. thg gin kadu. xzt gedher (that) (isn't) xzt l hhk lef (is) o thg gin kadu. kat ley gin (is). vst ley ginger (end).,i t g in,in g t i,4,i,in,24,5,,,,thg gin kadu. xzt gedher yra hji xzt l hhk lef ji o thg gin kadu. kat ley gin ji. vst ley ginger heba.,,,,,,,,,0-1,#6495ED,,,,thg gin kadu. xzt gedher (that) (isn't) xzt l hhk lef (is) o thg gin kadu. kat ley gin (is). vst ley ginger (end).,,,,,,,,
ituk,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. ezugad el cxsi lela tuk ji. vs je siuaa geder apu ji el ahg je lqa. gedher juya ji. gta z je qahh ji.,47,i. ezugad el cxsi (time) tuk (is). (with) (you) (mixed) geder (when) (is) el ahg (you) lqa. gedher juya (is). gta z (you) qahh (is).,i tu k,k tu i,3,i,k,24,4,,,,ezugad el cxsi lela tuk ji. vs je siuaa geder apu ji el ahg je lqa. gedher juya ji. gta z je qahh ji.,,,,,,,,,0-1,#6495ED,,,,ezugad el cxsi (time) tuk (is). (with) (you) (mixed) geder (when) (is) el ahg (you) lqa. gedher juya (is). gta z (you) qahh (is).,,,,,,,,
iutxx,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. utu sjlup aka kzin. dew uxaux in axuax ji. dew vk laf xxx ji am vk yra zint. kka gudih kauin ging zbax.,57,i. utu (place/direction/area) aka kzin. dew uxaux (or) axuax (is). dew (to/do) (delay) xxx (is) am (to/do) (that) zint. kka gudih kauin ging zbax.,i u t x x,x x t u i,5,i,x,23,5,,,,utu sjlup aka kzin. dew uxaux in axuax ji. dew vk laf xxx ji am vk yra zint. kka gudih kauin ging zbax.,,,,,,,,,0-1,#6495ED,,,,utu (place/direction/area) aka kzin. dew uxaux (or) axuax (is). dew (to/do) (delay) xxx (is) am (to/do) (that) zint. kka gudih kauin ging zbax.,,,,,,,,
iuxlvai,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. ja ee je uxi cht. ja ee je uxi husj. ja ee je uxi brye. ja ee je uxi atek. lpubal ja ee je uxi xhjr.,37,i. (me) (AND) (you) uxi cht. (me) (AND) (you) uxi husj. (me) (AND) (you) uxi brye. (me) (AND) (you) uxi atek. lpubal (me) (AND) (you) uxi (stop).,i ux l v ai,ai v l ux i,5,i,ai,26,7,,,,ja ee je uxi cht. ja ee je uxi husj. ja ee je uxi brye. ja ee je uxi atek. lpubal ja ee je uxi xhjr.,,,,,,,,,0-1,#6495ED,,,,(me) (AND) (you) uxi cht. (me) (AND) (you) uxi husj. (me) (AND) (you) uxi brye. (me) (AND) (you) uxi atek. lpubal (me) (AND) (you) uxi (stop).,,,,,,,,
ja,me,cj.,,1,orange,pronoun/number/base,0,1,180,2,cj. pdepr beax.,,cj. (myself) beax.,ja,ja,1,ja,,2,2,,,,,,,,,,pdepr beax.,,,>20,#FFA500,,,,,,,,,,(myself) beax.,,
jaai,,e.,,1,green,adjective/determiner,0,0,1,0,e. vh her osh.,7,e. (at) her osh.,ja ai,ai ja,2,ja,ai,3,4,,,vh her osh.,,,,,,,,,,0-1,#228B22,,,(at) her osh.,,,,,,,,,
jahh,,e.,,1,green,adjective/determiner,0,0,1,0,e. kap cjdahh.,7,e. (not) cjdahh.,ja hh,hh ja,2,ja,hh,2,4,,,kap cjdahh.,,,,,,,,,,0-1,#228B22,,,(not) cjdahh.,,,,,,,,,
jahuzu,,sj.,,1,blue,NOUN,0,0,1,0,sj. ykai z zhlut ja ji.,12,sj. ykai z zhlut (me) (is).,ja hu zu,zu hu ja,3,ja,zu,5,6,ykai z zhlut ja ji.,,,,,,,,,,,,0-1,#6495ED,ykai z zhlut (me) (is).,,,,,,,,,,,
jajija,,sj.,,1,blue,NOUN,0,0,0,0,sj. ja ja iji. ja ahk tta lela prat.,15,sj. (me) (me) iji. (me) ahk tta (time) prat.,ja ji ja,ja ji ja,3,ja,ja,8,6,ja ja iji. ja ahk tta lela prat.,,,,,,,,,,,,0-1,#6495ED,(me) (me) iji. (me) ahk tta (time) prat.,,,,,,,,,,,
jajije,,k.,,1,purple,verb/adverb/article,0,0,6,0,k. aie kytu.,8,k. aie kytu.,ja ji je,je ji ja,3,ja,je,2,6,,aie kytu.,,,,,,,,,,,>1,#9370DB,,aie kytu.,,,,,,,,,,
jakch,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. ppicj vh uku l beak.,14,k. ppicj (at) uku l beak.,ja k ch,ch k ja,3,ja,ch,5,5,,ppicj vh uku l beak.,,,,,,,,,,,0-1,#9370DB,,ppicj (at) uku l beak.,,,,,,,,,,
jakuz,,sj.,,1,blue,NOUN,0,0,0,0,sj. uzuini subb shg je tacx. yra suba je asx el je tare. gta z je yra ji el je chley.,43,sj. uzuini subb shg (you) tacx. (that) suba (you) asx el (you) tare. gta z (you) (that) (is) el (you) chley.,ja ku z,z ku ja,3,ja,z,20,5,uzuini subb shg je tacx. yra suba je asx el je tare. gta z je yra ji el je chley.,,,,,,,,,,,,0-1,#6495ED,uzuini subb shg (you) tacx. (that) suba (you) asx el (you) tare. gta z (you) (that) (is) el (you) chley.,,,,,,,,,,,
jar,,sj.,,1,blue,NOUN,0,0,15,1,sj. 1 vx yra tair gudih ji ahk je akudep o je asj f lela. 2 yra ktap ktap f lela.,38,sj. 1 vx (that) tair gudih (is) ahk (you) akudep o (you) asj f (time). 2 (that) ktap ktap f (time).,ja r,r ja,2,ja,r,19,3,1 vx yra tair gudih ji ahk je akudep o je asj f lela. 2 yra ktap ktap f lela.,,,,,,,,,,,,>1,#6495ED,1 vx (that) tair gudih (is) ahk (you) akudep o (you) asj f (time). 2 (that) ktap ktap f (time).,,,,,,,,,,,
jaraq,,sj.,,1,blue,NOUN,0,0,12,0,sj. jitesh ee jitas ee jitu.,17,sj. jitesh (AND) jitas (AND) jitu.,ja ra q,q ra ja,3,ja,q,5,5,jitesh ee jitas ee jitu.,,,,,,,,,,,,>1,#6495ED,jitesh (AND) jitas (AND) jitu.,,,,,,,,,,,
jatao,,e.,,1,green,adjective/determiner,0,0,0,0,e. ja lisu ja ji.,5,e. (me) lisu (me) (is).,ja ta o,o ta ja,3,ja,o,4,5,,,ja lisu ja ji.,,,,,,,,,,0-1,#228B22,,,(me) lisu (me) (is).,,,,,,,,,
jater,,e.,,1,green,adjective/determiner,0,0,1,0,e. hgasi z yater dkdg.,16,e. hgasi z yater dkdg.,ja te r,r te ja,3,ja,r,4,5,,,hgasi z yater dkdg.,,,,,,,,,,0-1,#228B22,,,hgasi z yater dkdg.,,,,,,,,,
jauje,,sj.,,1,blue,NOUN,0,0,0,0,sj. jazah ja ee je ji.,7,sj. jazah (me) (AND) (you) (is).,ja u je,je u ja,3,ja,je,5,5,jazah ja ee je ji.,,,,,,,,,,,,0-1,#6495ED,jazah (me) (AND) (you) (is).,,,,,,,,,,,
jazah,,e.,,1,green,adjective/determiner,0,0,1,0,e. asj f lela akydep. aokasx ja akydep.,23,e. asj f (time) akydep. aokasx (me) akydep.,ja z a h,h a z ja,4,ja,h,7,5,,,asj f lela akydep. aokasx ja akydep.,,,,,,,,,,0-1,#228B22,,,asj f (time) akydep. aokasx (me) akydep.,,,,,,,,,
je,you,cj.,,1,orange,pronoun/number/base,0,1,438,6,cj. btebr beax.,,cj. (yourself) beax.,je,je,1,je,,2,2,,,,,,,,,,btebr beax.,,,>20,#FFA500,,,,,,,,,,(yourself) beax.,,
jef,,cj.,,1,orange,pronoun/number/base,0,1,9,0,cj. wux je kadu f lef.,13,cj. wux (you) kadu f lef.,je f,f je,2,je,f,5,3,,,,,,,,,,wux je kadu f lef.,,,>1,#FFA500,,,,,,,,,,wux (you) kadu f lef.,,
jegt,,e.,,1,green,adjective/determiner,0,0,0,0,e. vh hegt osh.,8,e. (at) hegt osh.,je g t,t g je,3,je,t,3,4,,,vh hegt osh.,,,,,,,,,,0-1,#228B22,,,(at) hegt osh.,,,,,,,,,
jehuzu,,sj.,,1,blue,NOUN,0,0,1,0,sj. ykai z ladut je ji.,12,sj. ykai z ladut (you) (is).,je hu zu,zu hu je,3,je,zu,5,6,ykai z ladut je ji.,,,,,,,,,,,,0-1,#6495ED,ykai z ladut (you) (is).,,,,,,,,,,,
jel,,cj.,,1,orange,pronoun/number/base,0,1,21,0,cj. subteta eeluz deqhm.,7,cj. (before) eeluz (WORD).,je l,l je,2,je,l,3,3,,,,,,,,,,subteta eeluz deqhm.,,,>20,#FFA500,,,,,,,,,,(before) eeluz (WORD).,,
jelig,,e.,,1,green,adjective/determiner,0,0,0,0,e. vx hut ruk el hezl je hkudep. taar subt ktap gudde el yk ahg je tky.,44,e. vx hut ruk el hezl (you) hkudep. taar (now) ktap gudde el yk ahg (you) tky.,je li g,g li je,3,je,g,16,5,,,vx hut ruk el hezl je hkudep. taar subt ktap gudde el yk ahg je tky.,,,,,,,,,,0-1,#228B22,,,vx hut ruk el hezl (you) hkudep. taar (now) ktap gudde el yk ahg (you) tky.,,,,,,,,,
jeqr,,sj.,,1,blue,NOUN,0,0,2,0,sj. vx yra ahk lela airli f deda.,17,sj. vx (that) ahk (time) airli f deda.,je qr,qr je,2,je,qr,7,4,vx yra ahk lela airli f deda.,,,,,,,,,,,,>1,#6495ED,vx (that) ahk (time) airli f deda.,,,,,,,,,,,
ji,is,k.,,1,purple,verb/adverb/article,0,0,466,1,k. 1 beba. 2 qrexzt deqhm.,,k. 1 (begin). 2 qrexzt (WORD).,ji,ji,1,ji,,4,2,,1 beba. 2 qrexzt deqhm.,,,,,,,,,,,>20,#9370DB,,1 (begin). 2 qrexzt (WORD).,,,,,,,,,,
jidak,,sj.,,1,blue,NOUN,0,0,0,0,sj. l xaxaxa ahk ugay f lela.,17,sj. l xaxaxa ahk ugay f (time).,ji da k,k da ji,3,ji,k,6,5,l xaxaxa ahk ugay f lela.,,,,,,,,,,,,0-1,#6495ED,l xaxaxa ahk ugay f (time).,,,,,,,,,,,
jikai,,k.,,1,purple,verb/adverb/article,0,0,0,0,k. gudih kytu aozh beak aa igf.,23,k. gudih kytu aozh beak aa igf.,ji ka i,i ka ji,3,ji,i,6,5,,gudih kytu aozh beak aa igf.,,,,,,,,,,,0-1,#9370DB,,gudih kytu aozh beak aa igf.,,,,,,,,,,
jipuqr,,sj.,,1,blue,NOUN,0,0,2,0,sj. ahk duta f yra.,10,sj. ahk duta f (that).,ji pu qr,qr pu ji,3,ji,qr,4,6,ahk duta f yra.,,,,,,,,,,,,>1,#6495ED,ahk duta f (that).,,,,,,,,,,,
